status,type,id,prefab_resource_path,thumbnail_resource_path,source
ready,decoration,MushroomForest_Mushroom_04,Decorations/MushroomForest_Mushroom_04/decoration,Decorations/MushroomForest_Mushroom_04/store_thumbnail,Mushroom_04
ready,decoration,MushroomForest_Mushroom_03,Decorations/MushroomForest_Mushroom_03/decoration,Decorations/MushroomForest_Mushroom_03/store_thumbnail,Mushroom_03
ready,decoration,MushroomForest_PondRock_01,Decorations/MushroomForest_PondRock_01/decoration,Decorations/MushroomForest_PondRock_01/store_thumbnail,PondRock_01
ready,decoration,MushroomForest_PondRock_02,Decorations/MushroomForest_PondRock_02/decoration,Decorations/MushroomForest_PondRock_02/store_thumbnail,PondRock_02
ready,decoration,MushroomForest_PondRock_03,Decorations/MushroomForest_PondRock_03/decoration,Decorations/MushroomForest_PondRock_03/store_thumbnail,PondRock_03
ready,decoration,MushroomForest_PondRock_04,Decorations/MushroomForest_PondRock_04/decoration,Decorations/MushroomForest_PondRock_04/store_thumbnail,PondRock_04
ready,decoration,MushroomForest_Crystal_01,Decorations/MushroomForest_Crystal_01/decoration,Decorations/MushroomForest_Crystal_01/store_thumbnail,Crystal_01
ready,decoration,MushroomForest_Crystal_02,Decorations/MushroomForest_Crystal_02/decoration,Decorations/MushroomForest_Crystal_02/store_thumbnail,Crystal_02
ready,decoration,MushroomForest_Crystal_03,Decorations/MushroomForest_Crystal_03/decoration,Decorations/MushroomForest_Crystal_03/store_thumbnail,Crystal_03
ready,decoration,MushroomForest_Crystal_04,Decorations/MushroomForest_Crystal_04/decoration,Decorations/MushroomForest_Crystal_04/store_thumbnail,Crystal_04
ready,decoration,MushroomForest_MossyPond_01,Decorations/MushroomForest_MossyPond_01/decoration,Decorations/MushroomForest_MossyPond_01/store_thumbnail,MossyPond_01
ready,decoration,MushroomForest_MossyPond_02,Decorations/MushroomForest_MossyPond_02/decoration,Decorations/MushroomForest_MossyPond_02/store_thumbnail,MossyPond_02
ready,decoration,MushroomForest_MossyPond_03,Decorations/MushroomForest_MossyPond_03/decoration,Decorations/MushroomForest_MossyPond_03/store_thumbnail,MossyPond_03
ready,decoration,MushroomForest_MossyPond_04,Decorations/MushroomForest_MossyPond_04/decoration,Decorations/MushroomForest_MossyPond_04/store_thumbnail,MossyPond_04
ready,decoration,MushroomForest_MossyLog_01,Decorations/MushroomForest_MossyLog_01/decoration,Decorations/MushroomForest_MossyLog_01/store_thumbnail,MossyLog_01
ready,decoration,MushroomForest_MossyLog_02,Decorations/MushroomForest_MossyLog_02/decoration,Decorations/MushroomForest_MossyLog_02/store_thumbnail,MossyLog_02
ready,decoration,MushroomForest_MossyLog_03,Decorations/MushroomForest_MossyLog_03/decoration,Decorations/MushroomForest_MossyLog_03/store_thumbnail,MossyLog_03
ready,decoration,MushroomForest_MossyLog_04,Decorations/MushroomForest_MossyLog_04/decoration,Decorations/MushroomForest_MossyLog_04/store_thumbnail,MossyLog_04
ready,decoration,MushroomForest_StoneRuin_01,Decorations/MushroomForest_StoneRuin_01/decoration,Decorations/MushroomForest_StoneRuin_01/store_thumbnail,StoneRuin_01
ready,decoration,MushroomForest_StoneRuin_02,Decorations/MushroomForest_StoneRuin_02/decoration,Decorations/MushroomForest_StoneRuin_02/store_thumbnail,StoneRuin_02
ready,decoration,MushroomForest_StoneRuin_03,Decorations/MushroomForest_StoneRuin_03/decoration,Decorations/MushroomForest_StoneRuin_03/store_thumbnail,StoneRuin_03
ready,background,WarmCozyRoomA,Backgrounds/WarmCozyRoomA/background,Backgrounds/WarmCozyRoomA/store_thumbnail,3 roots; 0 particle systems
ready,decoration,WarmCozyRoomA_Type2A_Window,Decorations/WarmCozyRoom_Window/decoration,Decorations/WarmCozyRoom_Window/store_thumbnail,Type2A_Window
ready,decoration,WarmCozyRoomA_Type2A_WallShelf,Decorations/WarmCozyRoom_WallShelf/decoration,Decorations/WarmCozyRoom_WallShelf/store_thumbnail,Type2A_WallShelf
ready,decoration,WarmCozyRoomA_Type2A_Fireplace,Decorations/WarmCozyRoom_Fireplace/decoration,Decorations/WarmCozyRoom_Fireplace/store_thumbnail,Type2A_Fireplace
ready,decoration,WarmCozyRoomA_Type2A_Armchair,Decorations/WarmCozyRoom_Armchair/decoration,Decorations/WarmCozyRoom_Armchair/store_thumbnail,Type2A_Armchair
ready,decoration,WarmCozyRoomA_Type2A_Sofa,Decorations/WarmCozyRoom_Sofa/decoration,Decorations/WarmCozyRoom_Sofa/store_thumbnail,Type2A_Sofa
ready,decoration,WarmCozyRoomA_Type2A_Cabinet,Decorations/WarmCozyRoom_Cabinet/decoration,Decorations/WarmCozyRoom_Cabinet/store_thumbnail,Type2A_Cabinet
ready,decoration,WarmCozyRoomA_Type2A_Bookcase,Decorations/WarmCozyRoom_Bookcase/decoration,Decorations/WarmCozyRoom_Bookcase/store_thumbnail,Type2A_Bookcase
ready,decoration,WarmCozyRoomA_Type2A_Vanity,Decorations/WarmCozyRoom_Vanity/decoration,Decorations/WarmCozyRoom_Vanity/store_thumbnail,Type2A_Vanity
ready,decoration,WarmCozyRoomA_Type2A_Door,Decorations/WarmCozyRoom_Door/decoration,Decorations/WarmCozyRoom_Door/store_thumbnail,Type2A_Door
ready,decoration,WarmCozyRoomA_Type2A_CoatRack,Decorations/WarmCozyRoom_CoatRack/decoration,Decorations/WarmCozyRoom_CoatRack/store_thumbnail,Type2A_CoatRack
ready,decoration,WarmCozyRoomA_Type2A_FloorLamp,Decorations/WarmCozyRoomA_FloorLamp/decoration,Decorations/WarmCozyRoomA_FloorLamp/store_thumbnail,Type2A_FloorLamp
ready,decoration,WarmCozyRoomA_Type2A_PetBed,Decorations/WarmCozyRoomA_PetBed/decoration,Decorations/WarmCozyRoomA_PetBed/store_thumbnail,Type2A_PetBed
ready,decoration,WarmCozyRoomA_Type2A_GiftStack,Decorations/WarmCozyRoom_GiftStack/decoration,Decorations/WarmCozyRoom_GiftStack/store_thumbnail,Type2A_GiftStack
ready,decoration,WarmCozyRoomA_Type2A_Chest,Decorations/WarmCozyRoom_Chest/decoration,Decorations/WarmCozyRoom_Chest/store_thumbnail,Type2A_Chest
ready,decoration,WarmCozyRoomA_Type2A_Rug,Decorations/WarmCozyRoomA_Rug/decoration,Decorations/WarmCozyRoomA_Rug/store_thumbnail,Type2A_Rug
ready,background,WarmCozyRoomB,Backgrounds/WarmCozyRoomB/background,Backgrounds/WarmCozyRoomB/store_thumbnail,3 roots; 0 particle systems
ready,decoration,WarmCozyRoomB_Type2B_Clock,Decorations/WarmCozyRoom_Clock/decoration,Decorations/WarmCozyRoom_Clock/store_thumbnail,Type2B_Clock
ready,decoration,WarmCozyRoomB_Type2B_Window,Decorations/WarmCozyRoom_Window_02/decoration,Decorations/WarmCozyRoom_Window_02/store_thumbnail,Type2B_Window
ready,decoration,WarmCozyRoomB_Type2B_WallShelf,Decorations/WarmCozyRoom_WallShelf_02/decoration,Decorations/WarmCozyRoom_WallShelf_02/store_thumbnail,Type2B_WallShelf
ready,decoration,WarmCozyRoomB_Type2B_Fireplace,Decorations/WarmCozyRoom_Fireplace_02/decoration,Decorations/WarmCozyRoom_Fireplace_02/store_thumbnail,Type2B_Fireplace
ready,decoration,WarmCozyRoomB_Type2B_Armchair,Decorations/WarmCozyRoom_Armchair_02/decoration,Decorations/WarmCozyRoom_Armchair_02/store_thumbnail,Type2B_Armchair
ready,decoration,WarmCozyRoomB_Type2B_Sofa,Decorations/WarmCozyRoom_Sofa_02/decoration,Decorations/WarmCozyRoom_Sofa_02/store_thumbnail,Type2B_Sofa
ready,decoration,WarmCozyRoomB_Type2B_Cabinet,Decorations/WarmCozyRoom_Cabinet_02/decoration,Decorations/WarmCozyRoom_Cabinet_02/store_thumbnail,Type2B_Cabinet
ready,decoration,WarmCozyRoomB_Type2B_Bookcase,Decorations/WarmCozyRoom_Bookcase_02/decoration,Decorations/WarmCozyRoom_Bookcase_02/store_thumbnail,Type2B_Bookcase
ready,decoration,WarmCozyRoomB_Type2B_SideTable,Decorations/WarmCozyRoom_SideTable/decoration,Decorations/WarmCozyRoom_SideTable/store_thumbnail,Type2B_SideTable
ready,decoration,WarmCozyRoomB_Type2B_Door,Decorations/WarmCozyRoom_Door_02/decoration,Decorations/WarmCozyRoom_Door_02/store_thumbnail,Type2B_Door
ready,decoration,WarmCozyRoomB_Type2B_CoatRack,Decorations/WarmCozyRoom_CoatRack_02/decoration,Decorations/WarmCozyRoom_CoatRack_02/store_thumbnail,Type2B_CoatRack
ready,decoration,WarmCozyRoomB_Type2B_FloorLamp,Decorations/WarmCozyRoomB_FloorLamp/decoration,Decorations/WarmCozyRoomB_FloorLamp/store_thumbnail,Type2B_FloorLamp
ready,decoration,WarmCozyRoomB_Type2B_Tree,Decorations/WarmCozyRoomB_Tree/decoration,Decorations/WarmCozyRoomB_Tree/store_thumbnail,Type2B_Tree
ready,decoration,WarmCozyRoomB_Type2B_GiftStack,Decorations/WarmCozyRoom_GiftStack_02/decoration,Decorations/WarmCozyRoom_GiftStack_02/store_thumbnail,Type2B_GiftStack
ready,decoration,WarmCozyRoomB_Type2B_Ottoman,Decorations/WarmCozyRoom_Ottoman/decoration,Decorations/WarmCozyRoom_Ottoman/store_thumbnail,Type2B_Ottoman
ready,decoration,WarmCozyRoomB_Type2B_RockingChair,Decorations/WarmCozyRoomB_RockingChair/decoration,Decorations/WarmCozyRoomB_RockingChair/store_thumbnail,Type2B_RockingChair
ready,decoration,WarmCozyRoomB_Type2B_ExtraGifts,Decorations/WarmCozyRoom_ExtraGifts/decoration,Decorations/WarmCozyRoom_ExtraGifts/store_thumbnail,Type2B_ExtraGifts
excluded,,CommonObjects,,,24 Common decorations delivered individually; original sample prefab remains absent
ready,background,ToyShop,Backgrounds/ToyShop/background,Backgrounds/ToyShop/store_thumbnail,Background - Rolling only
ready,decoration,ToyShop_PatchworkBunny,Decorations/ToyShop_PatchworkBunny/decoration,Decorations/ToyShop_PatchworkBunny/store_thumbnail,Toy_PatchworkBunny (1)
ready,decoration,ToyShop_Train,Decorations/ToyShop_Train/decoration,Decorations/ToyShop_Train/store_thumbnail,Toy_Train (1)
ready,decoration,ToyShop_RockingHorse,Decorations/ToyShop_RockingHorse/decoration,Decorations/ToyShop_RockingHorse/store_thumbnail,Toy_RockingHorse
ready,decoration,ToyShop_PullDuck,Decorations/ToyShop_PullDuck/decoration,Decorations/ToyShop_PullDuck/store_thumbnail,Toy_PullDuck
ready,decoration,ToyShop_Robot,Decorations/ToyShop_Robot/decoration,Decorations/ToyShop_Robot/store_thumbnail,Toy_Robot
ready,decoration,ToyShop_StarDisplay,Decorations/ToyShop_StarDisplay/decoration,Decorations/ToyShop_StarDisplay/store_thumbnail,Toy_StarDisplay
ready,background,OldFashionedTheater,Backgrounds/OldFashionedTheater/background,Backgrounds/OldFashionedTheater/store_thumbnail,Background - Rolling only
ready,decoration,OldFashionedTheater_DoubleSeat,Decorations/OldFashionedTheater_DoubleSeat/decoration,Decorations/OldFashionedTheater_DoubleSeat/store_thumbnail,Theater_DoubleSeat (2)
ready,decoration,OldFashionedTheater_PopcornBucket,Decorations/OldFashionedTheater_PopcornBucket/decoration,Decorations/OldFashionedTheater_PopcornBucket/store_thumbnail,popcorn-obj_0 (1)
ready,decoration,OldFashionedTheater_FilmReel,Decorations/OldFashionedTheater_FilmReel/decoration,Decorations/OldFashionedTheater_FilmReel/store_thumbnail,Theater_FilmReel (1)
ready,decoration,OldFashionedTheater_Popcorn,Decorations/OldFashionedTheater_Popcorn/decoration,Decorations/OldFashionedTheater_Popcorn/store_thumbnail,Theater_Popcorn (1)
ready,decoration,OldFashionedTheater_TicketCounter,Decorations/OldFashionedTheater_TicketCounter/decoration,Decorations/OldFashionedTheater_TicketCounter/store_thumbnail,Theater_TicketCounter (2)
ready,decoration,OldFashionedTheater_Ticket,Decorations/OldFashionedTheater_Ticket/decoration,Decorations/OldFashionedTheater_Ticket/store_thumbnail,Theater_Ticket
ready,decoration,OldFashionedTheater_PopcornCart,Decorations/OldFashionedTheater_PopcornCart/decoration,Decorations/OldFashionedTheater_PopcornCart/store_thumbnail,Theater_PopcornCart
ready,decoration,OldFashionedTheater_Projector,Decorations/OldFashionedTheater_Projector/decoration,Decorations/OldFashionedTheater_Projector/store_thumbnail,Theater_Projector
ready,decoration,OldFashionedTheater_PosterStand,Decorations/OldFashionedTheater_PosterStand/decoration,Decorations/OldFashionedTheater_PosterStand/store_thumbnail,Theater_PosterStand
ready,decoration,OldFashionedTheater_SingleSeat,Decorations/OldFashionedTheater_SingleSeat/decoration,Decorations/OldFashionedTheater_SingleSeat/store_thumbnail,Theater_SingleSeat
ready,decoration,OldFashionedTheater_Soda,Decorations/OldFashionedTheater_Soda/decoration,Decorations/OldFashionedTheater_Soda/store_thumbnail,Theater_Soda
ready,decoration,OldFashionedTheater_Clapperboard,Decorations/OldFashionedTheater_Clapperboard/decoration,Decorations/OldFashionedTheater_Clapperboard/store_thumbnail,Theater_Clapperboard
ready,decoration,OldFashionedTheater_StarFrame,Decorations/OldFashionedTheater_StarFrame/decoration,Decorations/OldFashionedTheater_StarFrame/store_thumbnail,Theater_StarFrame
ready,decoration,OldFashionedTheater_PropRoll,Decorations/OldFashionedTheater_PropRoll/decoration,Decorations/OldFashionedTheater_PropRoll/store_thumbnail,Theater_PropRoll
ready,decoration,OldFashionedTheater_PropSword,Decorations/OldFashionedTheater_PropSword/decoration,Decorations/OldFashionedTheater_PropSword/store_thumbnail,Theater_PropSword
ready,decoration,ThrowPillow,Decorations/ThrowPillow/decoration,Decorations/ThrowPillow/store_thumbnail,Common_ThrowPillow
ready,decoration,FloorLamp,Decorations/FloorLamp/decoration,Decorations/FloorLamp/store_thumbnail,Common_FloorLamp
ready,decoration,LandscapeFrame,Decorations/LandscapeFrame/decoration,Decorations/LandscapeFrame/store_thumbnail,Common_LandscapeFrame
ready,decoration,FlowerVase,Decorations/FlowerVase/decoration,Decorations/FlowerVase/store_thumbnail,Common_FlowerVase
ready,decoration,PottedPlantBushy,Decorations/PottedPlantBushy/decoration,Decorations/PottedPlantBushy/store_thumbnail,Common_PottedPlantBushy
ready,decoration,BookStack,Decorations/BookStack/decoration,Decorations/BookStack/store_thumbnail,Common_BookStack
ready,decoration,TableLamp,Decorations/TableLamp/decoration,Decorations/TableLamp/store_thumbnail,Common_TableLamp
ready,decoration,WallClock,Decorations/WallClock/decoration,Decorations/WallClock/store_thumbnail,Common_WallClock
ready,decoration,OvalFrame,Decorations/OvalFrame/decoration,Decorations/OvalFrame/store_thumbnail,Common_OvalFrame
ready,decoration,WoodenStool,Decorations/WoodenStool/decoration,Decorations/WoodenStool/store_thumbnail,Common_WoodenStool
ready,decoration,WovenBasket,Decorations/WovenBasket/decoration,Decorations/WovenBasket/store_thumbnail,Common_WovenBasket
ready,decoration,PottedPlantTall,Decorations/PottedPlantTall/decoration,Decorations/PottedPlantTall/store_thumbnail,Common_PottedPlantTall
ready,decoration,DriedFlowerVase,Decorations/DriedFlowerVase/decoration,Decorations/DriedFlowerVase/store_thumbnail,Common_DriedFlowerVase
ready,decoration,FlowerMug,Decorations/FlowerMug/decoration,Decorations/FlowerMug/store_thumbnail,Common_FlowerMug
ready,decoration,WoodenBench,Decorations/WoodenBench/decoration,Decorations/WoodenBench/store_thumbnail,Common_WoodenBench
ready,decoration,OvalMirror,Decorations/OvalMirror/decoration,Decorations/OvalMirror/store_thumbnail,Common_OvalMirror
ready,decoration,Ottoman,Decorations/Ottoman/decoration,Decorations/Ottoman/store_thumbnail,Common_Ottoman
ready,decoration,FoldedBlanket,Decorations/FoldedBlanket/decoration,Decorations/FoldedBlanket/store_thumbnail,Common_FoldedBlanket
ready,decoration,ScentedCandle,Decorations/ScentedCandle/decoration,Decorations/ScentedCandle/store_thumbnail,Common_ScentedCandle
ready,decoration,LiddedBasket,Decorations/LiddedBasket/decoration,Decorations/LiddedBasket/store_thumbnail,Common_LiddedBasket
ready,decoration,Teapot,Decorations/Teapot/decoration,Decorations/Teapot/store_thumbnail,Common_Teapot
ready,decoration,Candlestick,Decorations/Candlestick/decoration,Decorations/Candlestick/store_thumbnail,Common_Candlestick
ready,decoration,BedsideCabinet,Decorations/BedsideCabinet/decoration,Decorations/BedsideCabinet/store_thumbnail,Common_BedsideCabinet
ready,decoration,RoundTable,Decorations/RoundTable/decoration,Decorations/RoundTable/store_thumbnail,Common_RoundTable
